Timestamp,"How do you pronounce ""both""?",What city do you consider yourself to be from?,"What state, province, or official national region do you consider yourself to be from?",What country are you from?,What is your postal or zip code?,Do you have any comments?
3/9/2010 17:55:49,"both: rhymes with oath and there is no ""L"" sound",dallas,texas,united states,75204,"I didn't grow up in Texas, I lived in a diff state every three years or so, but I've been in texas the longest."
3/9/2010 17:56:22,"both: rhymes with oath and there is no ""L"" sound",Minneapolis,Minnesota,USA,55376,
3/9/2010 17:56:33,"both: rhymes with oath and there is no ""L"" sound",Bloomington,Indiana,USA,78212,
3/9/2010 17:56:39,"both: rhymes with oath and there is no ""L"" sound",Arlington,Texas,USA,99574,
3/9/2010 17:56:56,"both: rhymes with oath and there is no ""L"" sound",Seattle,Washington,USA,98036,
3/9/2010 17:57:06,"both: rhymes with oath and there is no ""L"" sound",cardiff,south Wales,UK,SA15 1DD,
3/9/2010 17:57:11,"both: rhymes with oath and there is no ""L"" sound",Rochester,New York,US,19382,
3/9/2010 17:57:22,"both: rhymes with oath and there is no ""L"" sound",St. Louis,Missouri,USA,63128,
3/9/2010 17:57:27,"both: rhymes with oath and there is no ""L"" sound",Rochester,New York,US,19382,
3/9/2010 18:00:01,"both: rhymes with oath and there is no ""L"" sound",Purcellville,Virginia,USA,75070,
3/9/2010 18:00:04,"both: rhymes with oath and there is no ""L"" sound",Dallas,Texas,USA,76227,
3/9/2010 18:01:26,"both: rhymes with oath and there is no ""L"" sound",New York,New York,United States,13905,
3/9/2010 18:02:12,"both: rhymes with oath and there is no ""L"" sound",New Orleans,Louisiana,USA,70047,
3/9/2010 18:07:36,"both: rhymes with oath and there is no ""L"" sound",Rockford,IL,USA,61107,
3/9/2010 18:08:02,"both: rhymes with oath and there is no ""L"" sound",Salt Lake City,Utah,USA,46260,An L???
3/9/2010 18:08:38,"both: rhymes with oath and there is no ""L"" sound",Cuyahoga Falls,Ohio,US,44221,
3/9/2010 18:09:34,"both: rhymes with oath and there is no ""L"" sound",Ojai,California,USA,93023,"I heard the L growing up, but never did it myself... I read based on how the word looks, not how it's spoken around town, which influenced my spoken language, too."
3/9/2010 18:11:51,"both: rhymes with oath and there is no ""L"" sound",Youngstown,Ohio,United States of America,44555,
3/9/2010 18:12:26,"bowlth or bolth: there's an ""L"" sound, like ""bowl"" plus ""th""",Kansas City,KS,united states,85284,
3/9/2010 18:13:23,"both: rhymes with oath and there is no ""L"" sound",New Brunswick,New Jersey,Japan,N/A,"I'm a native of Japan, not a native English speaker, so I put the city and the state where I've spent the longest as an international student, where my way of speaking English was formed the most.  BTW, I was never aware that there were more than one way of pronouncing ""both""!  What a surprise!"
3/9/2010 18:15:34,"bowlth or bolth: there's an ""L"" sound, like ""bowl"" plus ""th""",Ann Arbor,MI,USA,48103,"Wow, I'd never really thought about this before! At first I was thinking that there's no way I pronounce ""both"" with an L, but I do!"
3/9/2010 18:16:30,"both: rhymes with oath and there is no ""L"" sound",Melbourne,Victoria,Australia,3179,
3/9/2010 18:17:33,"both: rhymes with oath and there is no ""L"" sound",Chicago,Illinois,usa,33458,
3/9/2010 18:17:51,"both: rhymes with oath and there is no ""L"" sound",Sauk Centre,Minnesota,United States,93908,
3/9/2010 18:18:12,"both: rhymes with oath and there is no ""L"" sound",Lancaster,PA,United States,65804,
3/9/2010 18:22:30,"both: rhymes with oath and there is no ""L"" sound",Philadelphia,Pennsylvania,USA,8550,"Zip code is current vs. Where I am ""from."""
3/9/2010 18:23:36,"both: rhymes with oath and there is no ""L"" sound",Omaha,Nebraska,USA,40505,"I lived in a lot of places, but Nebraska and Illinois probably had the biggest impact on my speech.  I eventually outgrew the New Jersey bits from my early days."
3/9/2010 18:24:20,"both: rhymes with oath and there is no ""L"" sound",Los Angeles,Calif,USA,92602,
3/9/2010 18:25:19,"bowlth or bolth: there's an ""L"" sound, like ""bowl"" plus ""th""",Phoenix,Arizona,United States,85050,
3/9/2010 18:28:57,"both: rhymes with oath and there is no ""L"" sound",River Falls,Wisconsin,United States of America,54022,
3/9/2010 18:30:56,"both: rhymes with oath and there is no ""L"" sound",Toronto,Ontario,Canada,M5S 3L4,
3/9/2010 18:34:01,"both: rhymes with oath and there is no ""L"" sound",Chicago,Illinois,USA,60022,
3/9/2010 18:34:34,"bowlth or bolth: there's an ""L"" sound, like ""bowl"" plus ""th""",New York,NY,The United States of America,1002,"I also pronounce ""South"" like `salth` but I pronounce ""folk"" like `foke` and ""walk"" like `wauk`."
3/9/2010 18:35:16,"both: rhymes with oath and there is no ""L"" sound",Colorado Springs,Colorado,United States,80631,
3/9/2010 18:35:17,"both: rhymes with oath and there is no ""L"" sound",Boston,Massachusetts,US,19083,
3/9/2010 18:35:34,"both: rhymes with oath and there is no ""L"" sound",San Diego,CA,United States,92124-1412,"This is interesting. I can't imagine pronouncing it with an ""L"" sound but I can understand the ""F"" sound as our son had trouble with the ""th"" sound when he was little.

Love the show!"
3/9/2010 18:39:15,"both: rhymes with oath and there is no ""L"" sound",Mobile,Alabama,US,37075,
3/9/2010 18:40:14,"both: rhymes with oath and there is no ""L"" sound",Philadelphia,New Jersey,USA,8031,
3/9/2010 18:41:00,"both: rhymes with oath and there is no ""L"" sound",Battle Creek,Michigan,USA,47905,tho i have mainly features of a michigan accent--lived there for most of my life until 23-- i lived in ohio then maryland from 4 to 10 years old.
3/9/2010 18:42:31,"both: rhymes with oath and there is no ""L"" sound",Buffalo,NY,USA,92102,
3/9/2010 18:43:42,"both: rhymes with oath and there is no ""L"" sound",Portland,Oregon,USA,97201,
3/9/2010 18:48:45,"both: rhymes with oath and there is no ""L"" sound",Berkeley,CA,USA,11215,
3/9/2010 18:49:03,"both: rhymes with oath and there is no ""L"" sound",Berkeley,CA,USA,11215,
3/9/2010 18:55:03,"bowlth or bolth: there's an ""L"" sound, like ""bowl"" plus ""th""",Wading River,NY,USA,94555,
3/9/2010 18:58:51,"both: rhymes with oath and there is no ""L"" sound",Boston,MA,USA,2460,
3/9/2010 19:00:16,"both: rhymes with oath and there is no ""L"" sound",San Jose,CA,USA,22003,
3/9/2010 19:01:11,"both: rhymes with oath and there is no ""L"" sound",Houston,Texas,United States,75067,Love the show!  Learning and laughing go well together.
3/9/2010 19:06:36,"bowlth or bolth: there's an ""L"" sound, like ""bowl"" plus ""th""",San Leandro,CA,USA,94544,Can't wait 2C the results ... am I the only one?
3/9/2010 19:08:57,"both: rhymes with oath and there is no ""L"" sound",Toronto,Ontario,Canada,M5V 2Z6,
3/9/2010 19:10:36,"both: rhymes with oath and there is no ""L"" sound",Wilkes-Barre,pennsylvania,usa,18702,
3/9/2010 19:11:01,"both: rhymes with oath and there is no ""L"" sound",Washington,DC,US,10040,"Hi, grant!  xx Abby H-H"
3/9/2010 19:13:12,"both: rhymes with oath and there is no ""L"" sound",brooklyn,new jersey,usa,7302,
3/9/2010 19:13:15,"both: rhymes with oath and there is no ""L"" sound",Merrimack,New Hampshire,USA,1370,
3/9/2010 19:14:17,"bowlth or bolth: there's an ""L"" sound, like ""bowl"" plus ""th""",Boston,MA,US,10001,
3/9/2010 19:15:52,"both: rhymes with oath and there is no ""L"" sound",Buffalo,NY,USA,14070,"I have heard other speakers around me here include the ""l"" sound in this word."
3/9/2010 19:16:16,"both: rhymes with oath and there is no ""L"" sound",Long Island,New York,USA,7042,"I grew up on Long Island but my parents had distinctive non-Long Island accents. My father is from Massachusetts and has a gentle Mass. accent, not Kennedy-ish. (He said ""Time for your bahth."")  My mother has an upper-class New York City accent. I believe hearing their voices tempered the influence of the Lawn Guyland voices around us. At any rate, I've often been told I don't sound like a Long Islander."
3/9/2010 19:17:34,"both: rhymes with oath and there is no ""L"" sound",Johannesburg,,South Africa,38655,I'm surprised to hear there are alternate ways of pronouncing this word! Do we get to hear the results of these polls?
3/9/2010 19:18:04,"both: rhymes with oath and there is no ""L"" sound",Long Island,NY,United States,27560,Thanks to Sarah Hilliard for posting this to my Facebook feed! It's great to contribute to linguistic research :)
3/9/2010 19:18:27,"both: rhymes with oath and there is no ""L"" sound",Oberlin,Ohio,USA,52246,
3/9/2010 19:18:28,"bowlth or bolth: there's an ""L"" sound, like ""bowl"" plus ""th""",Raleigh,NC,USA,27609,
3/9/2010 19:18:29,"both: rhymes with oath and there is no ""L"" sound",Toronto,Ontario,England,M4C1E1,Emigrated from England at age 6. 
3/9/2010 19:19:12,"both: rhymes with oath and there is no ""L"" sound",Des Moines,IA,USA,50310,
3/9/2010 19:21:40,"bowlth or bolth: there's an ""L"" sound, like ""bowl"" plus ""th""",Eureka,California,USA,95503,
3/9/2010 19:24:19,"bowlth or bolth: there's an ""L"" sound, like ""bowl"" plus ""th""",Chicago,Illinois,USA,48104,
3/9/2010 19:27:18,"both: rhymes with oath and there is no ""L"" sound",New York,New York,US,6518,
3/9/2010 19:30:09,"both: rhymes with oath and there is no ""L"" sound",Chicago,Northern Illinois,USA,60085,
3/9/2010 19:31:02,"both: rhymes with oath and there is no ""L"" sound",edwardsville,Illinois,USA,62863,
3/9/2010 19:35:12,"both: rhymes with oath and there is no ""L"" sound",Virginia Beach,South Carolina,USA,23462,
3/9/2010 19:40:10,"both: rhymes with oath and there is no ""L"" sound",NY,NY,USA,2130,I am first generation Korean-American born in Philly but raised in NY.
3/9/2010 19:41:24,"both: rhymes with oath and there is no ""L"" sound",Houston,TX,USA,77373,
3/9/2010 19:42:11,"both: rhymes with oath and there is no ""L"" sound",New York,New York,USA,2130,
3/9/2010 19:43:58,"both: rhymes with oath and there is no ""L"" sound",Portsmouth,NH,USA,7030,
3/9/2010 19:45:24,"both: rhymes with oath and there is no ""L"" sound",Chicago,Illinois,United States of America,60630,
3/9/2010 19:46:24,"both: rhymes with oath and there is no ""L"" sound",Fall Creek,WI,USA,54742,
3/9/2010 19:47:44,"bowlth or bolth: there's an ""L"" sound, like ""bowl"" plus ""th""",Austin,Texas,USA,92117,"My parents are from central Iowa, Colo and Marshall counties. My mother also says Warshington and warsh. I didn't pick this up, tho. "
3/9/2010 19:48:38,"both: rhymes with oath and there is no ""L"" sound",ottawa,ontario,canada,k2a 0p7,
3/9/2010 19:52:36,"both: rhymes with oath and there is no ""L"" sound",Poughkeepsie,NY,US,12603,
3/9/2010 19:53:50,"both: rhymes with oath and there is no ""L"" sound",Arlington Heights,Illinois,USA,60005,
3/9/2010 19:58:04,"both: rhymes with oath and there is no ""L"" sound",Elkhart,IN,United States,98382,"An ""L""?  In ""both""?  Really?  Who does that?"
3/9/2010 19:59:44,"both: rhymes with oath and there is no ""L"" sound",Milwaukee,Wisconsin,USA,78240,
3/9/2010 20:03:03,"both: rhymes with oath and there is no ""L"" sound",kansas city,missouri,united states,64110,
3/9/2010 20:03:53,"bowlth or bolth: there's an ""L"" sound, like ""bowl"" plus ""th""",Glen Cove,NY,USA,11238,
3/9/2010 20:04:10,"bowlth or bolth: there's an ""L"" sound, like ""bowl"" plus ""th""",San Francisco,California,USA,V1W 4N8,"I've lived on Long Island NY, Chicago, and San Francisco. I worked with people in Atlanta.  Now I live in western Canada.  My accent is all screwed up."
3/9/2010 20:06:48,"both: rhymes with oath and there is no ""L"" sound",Clarksville,Arkansas ,USA ,72830,
3/9/2010 20:08:49,"both: rhymes with oath and there is no ""L"" sound",Akron,Ohio,USA,43231,
3/9/2010 20:12:25,"both: rhymes with oath and there is no ""L"" sound",LaGrange,GA,USA,30308,"Zip 30308 (Atlanta) is where I live now, not where I'm from, which is 30240.  And I think my speech is more influenced by my parents than by my hometown. Mom is from Gainesville, GA, and Dad is from Brunswick, GA.  None of the cities mentioned here has the same accent, contrary to what Hollywood would have us believe.  Someone from Gainesville will never be mistaken as being from the coast.  But we all say ""both"" rhymes with ""oath"".  "
3/9/2010 20:29:14,"both: rhymes with oath and there is no ""L"" sound",Tacoma,Washington,US,76207,
3/9/2010 20:30:26,"both: rhymes with oath and there is no ""L"" sound",chicago,illinois,usa,27609,I've never heard it with an L!
3/9/2010 20:30:29,"both: rhymes with oath and there is no ""L"" sound",Dallas,Texas,US,75062,
3/9/2010 20:36:24,"both: rhymes with oath and there is no ""L"" sound",Miami,Florida,USA,33189,
3/9/2010 20:36:32,"both: rhymes with oath and there is no ""L"" sound",Albany,NY,USA,2144,
3/9/2010 20:38:02,"bowlth or bolth: there's an ""L"" sound, like ""bowl"" plus ""th""",St. Louis,Missouri,USA,63021,"Hooray!  I emailed asking about this a few months ago - I'm glad you're doing a survey on it!  Bo(l)th my brother and I put an L in both, but neither of our parents do.  We are from St. Louis, and I've asked quite a few of my St. Louis friends how they say it, and most put an L in both as well.  But I live in Dallas, TX now and everyone makes fun of me here!"
3/9/2010 20:38:37,"both: rhymes with oath and there is no ""L"" sound",Detroit,Michigan,USA,48103,
3/9/2010 20:43:48,"both: rhymes with oath and there is no ""L"" sound",ann arbor,michigan,usa,48103,Never thought there was more than one way to say both!
3/9/2010 20:47:13,"bowlth or bolth: there's an ""L"" sound, like ""bowl"" plus ""th""",Boston,New England,United States,92126,"I grew up in Boston, high school and college in Arkansas, now living in California!"
3/9/2010 20:54:36,"both: rhymes with oath and there is no ""L"" sound",Jamaica Plain,Massachusetts,United States,2130,
3/9/2010 20:55:28,"both: rhymes with oath and there is no ""L"" sound",San Diego,CA,USA,55412,
3/9/2010 20:55:48,"both: rhymes with oath and there is no ""L"" sound",Dallas,Texas,USA,75201,
3/9/2010 21:14:33,"both: rhymes with oath and there is no ""L"" sound",Washington,DC,USA,78745,
3/9/2010 21:33:34,"both: rhymes with oath and there is no ""L"" sound",San Diego,California,United States of America,92126,
3/9/2010 21:34:16,"both: rhymes with oath and there is no ""L"" sound",San Diego,California,USA,92114,
3/9/2010 21:37:25,"bowlth or bolth: there's an ""L"" sound, like ""bowl"" plus ""th""",Seattle,Washington,United States,20746,
3/9/2010 21:50:30,"both: rhymes with oath and there is no ""L"" sound",Woods Hole,MA,USA,47933,
3/9/2010 21:55:39,"both: rhymes with oath and there is no ""L"" sound",Seattle,WA,USA,98226,
3/9/2010 22:16:40,"bowlth or bolth: there's an ""L"" sound, like ""bowl"" plus ""th""",Kansas City,Kansas,USA,85705,
3/9/2010 22:19:07,"both: rhymes with oath and there is no ""L"" sound",New Orleans,Louisiana,USA,70116,
3/9/2010 22:19:32,"both: rhymes with oath and there is no ""L"" sound",San Leandro,CA,USA,94544,"Have heard it also pronounced with the ""th"" from ""that"" rather than ""thin"""
3/9/2010 22:23:47,"both: rhymes with oath and there is no ""L"" sound",Tacoma,WA,USA,94544,
3/9/2010 22:36:50,"both: rhymes with oath and there is no ""L"" sound",berkeley,california,usa,94617,
3/9/2010 22:38:45,"both: rhymes with oath and there is no ""L"" sound",Milwaukee,Wisconsin,USA,98144,"Really? People say ""bowlth""?"
3/9/2010 22:41:59,"both: rhymes with oath and there is no ""L"" sound",Cleveland,Ohio,USA,44221,
3/9/2010 22:50:03,"both: rhymes with oath and there is no ""L"" sound",Sparta,Wisconsin,USA,54656,
3/9/2010 23:06:29,"both: rhymes with oath and there is no ""L"" sound",El Centro,Califonia,United States of America,92243,"my boyfriend pronounces it ""boths"""
3/9/2010 23:13:34,"both: rhymes with oath and there is no ""L"" sound",Traverse City,Michigan,USA,49684,
3/9/2010 23:16:50,"both: rhymes with oath and there is no ""L"" sound",Phoenix,Arizona,USA,52246,
3/9/2010 23:17:15,"both: rhymes with oath and there is no ""L"" sound",Canterbury,Kent,England,CT65QN,
3/9/2010 23:56:06,"both: rhymes with oath and there is no ""L"" sound",Northfield,MN,USA,55057,
3/10/2010 0:07:39,"both: rhymes with oath and there is no ""L"" sound",Toronto,Ontario,U.S.A.,2312 BT,
3/10/2010 0:11:42,"both: rhymes with oath and there is no ""L"" sound",Toronto,Southern Ontario,Canada,111211,"Live in Brooklyn, NY now"
3/10/2010 0:17:15,"bowlth or bolth: there's an ""L"" sound, like ""bowl"" plus ""th""",Chicago,Illinois,USA,92105,"Grew up in Chicago suburbs, spent summers in Germany speaking German, have lived in TX, Germany and now CA throughout my adult life."
3/10/2010 0:30:23,"both: rhymes with oath and there is no ""L"" sound",East Lansing,Michigan,US,48823,
3/10/2010 1:21:22,"both: rhymes with oath and there is no ""L"" sound",Galway,Connacht,Ireland,none,I'd like to say only that I am enjoying these surveys – both taking part and seeing the results!
3/10/2010 1:41:14,"both: rhymes with oath and there is no ""L"" sound",Hudson,Ohio,United States,44236,"Mother grew up in Brooklyn, father in Northern California"
3/10/2010 2:19:23,"both: rhymes with oath and there is no ""L"" sound",Derby,North Midlands (Derbyshire),England,CB4 1RS,"How do you know how I say ""oathe"" and ""oaf""?"
3/10/2010 2:26:09,"both: rhymes with oath and there is no ""L"" sound",Niagara Falls ,Ontario,Canada,M4L 2B1,
3/10/2010 2:32:53,more than one way,London,London,UK,CR0,"The two ways (since you didn't actually ask) are: to rhyme with 'oath' (acrolect); and to rhyme with 'oaf' (basilect)
"
3/10/2010 2:59:29,"both: rhymes with oath and there is no ""L"" sound",Buffalo,New York,United States,14043,
3/10/2010 3:00:08,"both: rhymes with oath and there is no ""L"" sound",Dublin,Leinster,Ireland,d7,
3/10/2010 3:18:24,"both: rhymes with oath and there is no ""L"" sound",New Haven,Connecticut,US,6903,
3/10/2010 3:57:07,"both: rhymes with oath and there is no ""L"" sound",Jamestown ,New york,USA ,11217,
3/10/2010 4:16:01,"both: rhymes with oath and there is no ""L"" sound",Burlington,MA,USA,1803,
3/10/2010 4:28:53,"both: rhymes with oath and there is no ""L"" sound",houston,texas,usa,20874,"I used to have a Texas drawl as a kid. I lost it watching TV around 10 or 12 years old (the guys on the national news were smart, the guys on Dukes of Hazzard were dumb, so I started talking more like the former and less like the latter). Then in college I studied linguistics, and that totally screwed with my language and language awareness."
3/10/2010 4:30:28,"both: rhymes with oath and there is no ""L"" sound",Moline,IL,USA,80905,
3/10/2010 4:35:13,"both: rhymes with oath and there is no ""L"" sound",Kingsville,Texas,USA,75248,Location is no excuse for mispronunciation. I'm the daugher of a professor and a high school English teacher - so I possibly don't pronounce the word like others from south Texas.
3/10/2010 4:35:33,"both: rhymes with oath and there is no ""L"" sound",Worcester,Massachusetts,US,46234,
3/10/2010 4:40:59,"both: rhymes with oath and there is no ""L"" sound",Denver,Colorado,USA,11220,
3/10/2010 4:53:57,"boaf: rhymes with ""oaf"" or ""loaf""",Indianapolis ,in,USA ,46123,
3/10/2010 5:03:14,"both: rhymes with oath and there is no ""L"" sound",Chicago,IL,USA,60618,
3/10/2010 5:07:16,"both: rhymes with oath and there is no ""L"" sound",Morton,Illinois,United States,61614,"I have heard other natives of this area say ""bowlth"""
3/10/2010 5:12:54,"both: rhymes with oath and there is no ""L"" sound",Philly,PA,USA,19047,"I always notice when one of my fave writer/poet/singers, the esteemed and brilliant Patti Smith, recent author of ""Just Kids,"" says ""bolth."" It makes her sound uneducated to my ears, but she is very literate and well-read and well-spoken ordinarily.
She is from Deptford, NJ."
3/10/2010 5:13:50,"both: rhymes with oath and there is no ""L"" sound",Dallas,Texas,United States,75701,When do we get the results? My email address is gerald.saul@gmail.com
3/10/2010 5:13:58,"both: rhymes with oath and there is no ""L"" sound",Middletown,CT,USA,55792,
3/10/2010 5:19:22,"both: rhymes with oath and there is no ""L"" sound",Washington,D.C.,United States,17340,
3/10/2010 5:24:04,"both: rhymes with oath and there is no ""L"" sound",Charlotte,North Carolina,USA,27516,
3/10/2010 5:24:19,"both: rhymes with oath and there is no ""L"" sound",Chicago,Mid-west,USA,60646,
3/10/2010 5:31:11,"both: rhymes with oath and there is no ""L"" sound",Groton,Conn,USA,78745,
3/10/2010 5:37:34,"both: rhymes with oath and there is no ""L"" sound",New York City,New York,USA,2130,"While believe that I pronounce both like oath, bowlth does not sound ""wrong"" to me. I may, upon occasion, pronounce it in that manner."
3/10/2010 6:09:58,"both: rhymes with oath and there is no ""L"" sound",Cardiff,Glamorgan,Wales,CF23 9BP,
3/10/2010 6:14:51,"both: rhymes with oath and there is no ""L"" sound",champaign,il,usa,61821,
3/10/2010 6:15:10,"both: rhymes with oath and there is no ""L"" sound",Waterloo,Ontario,Canada,N2E1A2,
3/10/2010 6:22:44,"both: rhymes with oath and there is no ""L"" sound",grinnell,iowa,usa,52358,
3/10/2010 6:27:22,none of these,Lubbock,Texas,USA,75207,
3/10/2010 6:27:33,"both: rhymes with oath and there is no ""L"" sound",Half Way,MO,USA,65663,
3/10/2010 6:40:38,"both: rhymes with oath and there is no ""L"" sound",Boston,Massachusetts,USA,1301,
3/10/2010 6:42:09,"both: rhymes with oath and there is no ""L"" sound",St. Paul,Minnesota,United States,55105,
3/10/2010 6:52:59,"both: rhymes with oath and there is no ""L"" sound",St. George,Utah,USA,2453,"When I was younger, I said it with an 'l' in the middle. Then I saw the spelling and realized it didn't have an 'l'."
3/10/2010 7:07:04,"both: rhymes with oath and there is no ""L"" sound",Shelbina,Missouri,USA,63468,I have never heard this word pronounced with an l sound.
3/10/2010 7:38:26,more than one way,santa cruz,california,u.s.,95076,"If it's an aquisition [a greedy 'fun' aquire-ment...] I'll TAKE ""BOWLTH"" like my twelth bowl of cereal...[ha!]
but if [']my 'character' is in question... ""both"" those guys did it... [he!]
when 'character' or even the lazy eye of a heroin addict [the movie ""DELIVERENCE"" was a study of people with microbial parasites from ""BAD DRINKING WATER""] is in oratory subjectivity[spies?!]... well you gotta learn FAST!

I speak spanish well enough but the word 'BI-lingual' could be toxic near san francisco... so maybe i'M ""bridinguwal"" like a ""WALL-eye"" in a pond full of sharks [please link to socialvaccine.gather.com SOCIOLOGY]"
3/10/2010 7:46:42,"both: rhymes with oath and there is no ""L"" sound",Saint Paul,MN,USA,27510,
3/10/2010 8:15:38,"both: rhymes with oath and there is no ""L"" sound",Barrie,Ontario,Canada,L4N6T8,
3/10/2010 8:24:42,"both: rhymes with oath and there is no ""L"" sound",Hartford,New England,USA,6062,
3/10/2010 8:25:00,"both: rhymes with oath and there is no ""L"" sound",London,England,The UK,rm14 1dl,
3/10/2010 8:26:24,"both: rhymes with oath and there is no ""L"" sound",Summerside,The Maritimes,Canada,M4L 1S9,"I've never ever ever heard anyone say ""bowlth""."
3/10/2010 8:26:25,"both: rhymes with oath and there is no ""L"" sound",Appleton,Wisconsin,USA,54911,
3/10/2010 8:26:25,"both: rhymes with oath and there is no ""L"" sound",Philadelphia,NJ,USA,8106,
3/10/2010 8:26:26,"both: rhymes with oath and there is no ""L"" sound",Ventura,CA,USA,36106,
3/10/2010 8:27:02,"both: rhymes with oath and there is no ""L"" sound",Black Mountain,North Carolina,USA,60625,"Moved to Chicago 18 years ago...have heard ""BoLth"" from friends and it makes me nuts."
3/10/2010 8:27:07,"both: rhymes with oath and there is no ""L"" sound",Indianapolis,Indiana,USA,46062,"I was born in the South to a mom from the South & a dad from New York, & spent growing-up years in Hawaii. I'm not sure where my (non)accent is from."
3/10/2010 8:27:08,"both: rhymes with oath and there is no ""L"" sound",Asheville,NC,USA,24210,
3/10/2010 8:27:11,"both: rhymes with oath and there is no ""L"" sound",San Diego,California,USA,97217,
3/10/2010 8:27:16,"both: rhymes with oath and there is no ""L"" sound",San Diego ,California ,United States ,92078,
3/10/2010 8:27:44,"both: rhymes with oath and there is no ""L"" sound",Montreal,Quebec,Canada,H3C1K8,
